Gene name,Gene stable ID version,Human gene stable ID,Human gene name
Gm25163,ENSMUSG00000089530.1,ENSG00000212184,RNU6-440P
Gm27365,ENSMUSG00000098525.1,ENSG00000273571,AC106873.2
Gm25188,ENSMUSG00000065847.1,ENSG00000207503,AP001610.1
Gm25188,ENSMUSG00000065847.1,ENSG00000206799,SNORA32
Gm25188,ENSMUSG00000065847.1,ENSG00000206776,AC021733.1
Gm25188,ENSMUSG00000065847.1,ENSG00000201384,AC007375.1
Gm25855,ENSMUSG00000064721.4,ENSG00000275043,SNORD25
Gm25897,ENSMUSG00000065643.1,ENSG00000252113,RNU6-523P
Gm25897,ENSMUSG00000065643.1,ENSG00000252903,RNU6-894P
Gm25897,ENSMUSG00000065643.1,ENSG00000252333,RNU6-964P
Gm23044,ENSMUSG00000088516.1,ENSG00000252452,RNU6-107P
Gm24131,ENSMUSG00000089164.1,ENSG00000212248,RNU6-750P
Gm24131,ENSMUSG00000089164.1,ENSG00000202159,RNU6-742P
Gm24131,ENSMUSG00000089164.1,ENSG00000251753,RNU6-75P
Gm23706,ENSMUSG00000077557.1,ENSG00000212498,SNORD86
Mirlet7i,ENSMUSG00000065406.3,ENSG00000199179,MIRLET7I
Gm24568,ENSMUSG00000094516.1,ENSG00000207002,AC020634.1
Gm25457,ENSMUSG00000093879.1,ENSG00000207367,RNU6-29P
Gm24705,ENSMUSG00000064742.1,ENSG00000200556,RNU6-103P
Gm24759,ENSMUSG00000094922.1,ENSG00000212428,AC124303.1
Gm24759,ENSMUSG00000094922.1,ENSG00000212528,SNORD115-47
Gm24585,ENSMUSG00000095628.1,ENSG00000212428,AC124303.1
Gm24585,ENSMUSG00000095628.1,ENSG00000212528,SNORD115-47
Mir532,ENSMUSG00000070139.1,ENSG00000207758,MIR532
Gm27443,ENSMUSG00000098572.1,ENSG00000277994,AC012531.7
Gm24297,ENSMUSG00000088925.1,ENSG00000212534,SNORD70
Gm25776,ENSMUSG00000080365.1,ENSG00000221303,SNORA79
Gm23686,ENSMUSG00000096391.1,ENSG00000206629,RNU1-63P
Gm25091,ENSMUSG00000077185.1,ENSG00000207500,SNORD102
Snora19,ENSMUSG00000095530.1,ENSG00000207468,SNORA19
AC124606.2,ENSMUSG00000095763.1,ENSG00000116721,PRAMEF1
AC124606.2,ENSMUSG00000095763.1,ENSG00000204479,PRAMEF17
AC124606.2,ENSMUSG00000095763.1,ENSG00000270601,PRAMEF5
AC124606.2,ENSMUSG00000095763.1,ENSG00000280267,PRAMEF26
AC124606.2,ENSMUSG00000095763.1,ENSG00000116726,PRAMEF12
AC124606.2,ENSMUSG00000095763.1,ENSG00000187545,PRAMEF10
AC124606.2,ENSMUSG00000095763.1,ENSG00000237700,PRAMEF33
AC124606.2,ENSMUSG00000095763.1,ENSG00000279804,PRAMEF18
AC124606.2,ENSMUSG00000095763.1,ENSG00000204505,PRAMEF9
AC124606.2,ENSMUSG00000095763.1,ENSG00000204478,PRAMEF20
AC124606.2,ENSMUSG00000095763.1,ENSG00000182330,PRAMEF8
AC124606.2,ENSMUSG00000095763.1,ENSG00000120952,PRAMEF2
AC124606.2,ENSMUSG00000095763.1,ENSG00000239810,PRAMEF11
AC124606.2,ENSMUSG00000095763.1,ENSG00000204481,PRAMEF14
AC124606.2,ENSMUSG00000095763.1,ENSG00000204510,PRAMEF7
AC124606.2,ENSMUSG00000095763.1,ENSG00000204501,PRAMEF15
AC124606.2,ENSMUSG00000095763.1,ENSG00000243073,PRAMEF4
AC124606.2,ENSMUSG00000095763.1,ENSG00000204480,PRAMEF19
AC124606.2,ENSMUSG00000095763.1,ENSG00000274764,PRAMEF27
AC124606.2,ENSMUSG00000095763.1,ENSG00000229571,PRAMEF25
AC124606.2,ENSMUSG00000095763.1,ENSG00000232423,PRAMEF6
AC124606.2,ENSMUSG00000095763.1,ENSG00000279169,PRAMEF13
Gm22942,ENSMUSG00000089188.1,ENSG00000278010,SNORA70
Gm22942,ENSMUSG00000089188.1,ENSG00000252014,SNORA70
Gm22942,ENSMUSG00000089188.1,ENSG00000252199,SNORA70
Gm22942,ENSMUSG00000089188.1,ENSG00000252724,CR769767.2
Gm22942,ENSMUSG00000089188.1,ENSG00000252133,SNORA70
